Career Cluster,Career Pathway,Code,Occupation
"Arts, Audio/Video Technology and Communications",Visual Arts,27-1025.00,Interior Designers
"Arts, Audio/Video Technology and Communications",Visual Arts,53-4011.00,Locomotive Engineers
"Arts, Audio/Video Technology and Communications",Visual Arts,53-4012.00,Locomotive Firers
"Arts, Audio/Video Technology and Communications",Visual Arts,53-5022.00,Motorboat Operators
"Arts, Audio/Video Technology and Communications",Visual Arts,27-1014.00,Multimedia Artists and Animators
"Arts, Audio/Video Technology and Communications",Visual Arts,51-9123.00,"Painting, Coating, and Decorating Workers"
"Arts, Audio/Video Technology and Communications",Visual Arts,27-4021.00,Photographers
"Arts, Audio/Video Technology and Communications",Visual Arts,51-9151.00,Photographic Process Workers and Processing Machine Operators
"Arts, Audio/Video Technology and Communications",Visual Arts,51-5111.00,Prepress Technicians and Workers
"Arts, Audio/Video Technology and Communications",Visual Arts,27-1027.00,Set and Exhibit Designers
Business Management and Administration,Administrative and Information Support,43-5011.00,Cargo and Freight Agents
Business Management and Administration,Administrative and Information Support,43-9011.00,Computer Operators
Business Management and Administration,Administrative and Information Support,43-4021.00,Correspondence Clerks
Business Management and Administration,Administrative and Information Support,43-5021.00,Couriers and Messengers
Business Management and Administration,Administrative and Information Support,43-4031.01,Court Clerks
Business Management and Administration,Administrative and Information Support,23-2091.00,Court Reporters
Business Management and Administration,Administrative and Information Support,43-4031.00,"Court, Municipal, and License Clerks"
Business Management and Administration,Administrative and Information Support,43-4051.00,Customer Service Representatives
Business Management and Administration,Administrative and Information Support,43-9021.00,Data Entry Keyers
Business Management and Administration,Administrative and Information Support,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Business Management and Administration,Administrative and Information Support,43-4071.00,File Clerks
Business Management and Administration,Administrative and Information Support,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Business Management and Administration,Administrative and Information Support,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Business Management and Administration,Administrative and Information Support,43-4199.00,"Information and Record Clerks, All Other"
Business Management and Administration,Administrative and Information Support,43-9041.00,Insurance Claims and Policy Processing Clerks
Business Management and Administration,Administrative and Information Support,43-9041.01,Insurance Claims Clerks
Business Management and Administration,Administrative and Information Support,43-9041.02,Insurance Policy Processing Clerks
Business Management and Administration,Administrative and Information Support,43-4111.00,"Interviewers, Except Eligibility and Loan"
Business Management and Administration,Administrative and Information Support,43-6012.00,Legal Secretaries
Business Management and Administration,Administrative and Information Support,43-4121.00,"Library Assistants, Clerical"
Business Management and Administration,Administrative and Information Support,43-4031.03,License Clerks
Business Management and Administration,Administrative and Information Support,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Business Management and Administration,Administrative and Information Support,43-6013.00,Medical Secretaries
Business Management and Administration,Administrative and Information Support,43-4031.02,Municipal Clerks
Business Management and Administration,Administrative and Information Support,43-4141.00,New Accounts Clerks
Business Management and Administration,Administrative and Information Support,43-9199.00,"Office and Administrative Support Workers, All Other"
Business Management and Administration,Administrative and Information Support,43-9061.00,"Office Clerks, General"
Business Management and Administration,Administrative and Information Support,43-9071.00,"Office Machine Operators, Except Computer"
Business Management and Administration,Administrative and Information Support,43-4151.00,Order Clerks
Business Management and Administration,Administrative and Information Support,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
Business Management and Administration,Administrative and Information Support,43-5051.00,Postal Service Clerks
Business Management and Administration,Administrative and Information Support,43-5052.00,Postal Service Mail Carriers
Business Management and Administration,Administrative and Information Support,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Business Management and Administration,Administrative and Information Support,43-3061.00,Procurement Clerks
Business Management and Administration,Administrative and Information Support,27-3031.00,Public Relations Specialists
Business Management and Administration,Administrative and Information Support,43-4171.00,Receptionists and Information Clerks
Business Management and Administration,Administrative and Information Support,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Business Management and Administration,Administrative and Information Support,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
Business Management and Administration,Administrative and Information Support,43-5081.00,Stock Clerks and Order Fillers
Business Management and Administration,Administrative and Information Support,43-2011.00,"Switchboard Operators, Including Answering Service"
Business Management and Administration,Administrative and Information Support,43-2021.00,Telephone Operators
Business Management and Administration,Administrative and Information Support,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Business Management and Administration,Administrative and Information Support,43-9022.00,Word Processors and Typists
Business Management and Administration,Business Analysis,13-2031.00,Budget Analysts
Business Management and Administration,Business Analysis,11-3021.00,Computer and Information Systems Managers
Business Management and Administration,Business Analysis,15-1199.00,"Computer Occupations, All Other"
Business Management and Administration,Business Analysis,15-1131.00,Computer Programmers
Business Management and Administration,Business Analysis,15-1141.00,Database Administrators
Business Management and Administration,Business Analysis,13-1199.01,Energy Auditors
Business Management and Administration,Business Analysis,25-1032.00,"Engineering Teachers, Postsecondary"
Business Management and Administration,Business Analysis,13-1111.00,Management Analysts
Business Management and Administration,Business Analysis,11-9121.00,Natural Sciences Managers
Business Management and Administration,Business Analysis,15-2031.00,Operations Research Analysts
Business Management and Administration,Business Analysis,13-1199.05,Sustainability Specialists
Business Management and Administration,Business Financial Management and Accounting,13-2011.01,Accountants
Business Management and Administration,Business Financial Management and Accounting,13-2011.00,Accountants and Auditors
Business Management and Administration,Business Financial Management and Accounting,13-2011.02,Auditors
Business Management and Administration,Business Financial Management and Accounting,43-3021.00,Billing and Posting Clerks
Business Management and Administration,Business Financial Management and Accounting,43-3021.02,"Billing, Cost, and Rate Clerks"
Business Management and Administration,Business Financial Management and Accounting,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Business Management and Administration,Business Financial Management and Accounting,43-4011.00,Brokerage Clerks
Business Management and Administration,Business Financial Management and Accounting,13-2031.00,Budget Analysts
Business Management and Administration,Business Financial Management and Accounting,25-1011.00,"Business Teachers, Postsecondary"
Business Management and Administration,Business Financial Management and Accounting,11-1011.00,Chief Executives
Business Management and Administration,Business Financial Management and Accounting,13-2041.00,Credit Analysts
Business Management and Administration,Business Financial Management and Accounting,13-2051.00,Financial Analysts
Business Management and Administration,Business Financial Management and Accounting,13-2061.00,Financial Examiners
Business Management and Administration,Business Financial Management and Accounting,11-3031.00,Financial Managers
Business Management and Administration,Business Financial Management and Accounting,11-3031.02,"Financial Managers, Branch or Department"
Business Management and Administration,Business Financial Management and Accounting,43-3041.00,Gaming Cage Workers
Business Management and Administration,Business Financial Management and Accounting,11-9199.00,"Managers, All Other"
Business Management and Administration,Business Financial Management and Accounting,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Business Management and Administration,Business Financial Management and Accounting,11-9121.00,Natural Sciences Managers
Business Management and Administration,Business Financial Management and Accounting,43-3051.00,Payroll and Timekeeping Clerks
Business Management and Administration,Business Financial Management and Accounting,43-3021.01,Statement Clerks
Business Management and Administration,Business Financial Management and Accounting,43-9111.00,Statistical Assistants
Business Management and Administration,Business Financial Management and Accounting,15-2041.00,Statisticians
Business Management and Administration,Business Financial Management and Accounting,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Business Management and Administration,Business Financial Management and Accounting,13-2082.00,Tax Preparers
Business Management and Administration,Business Financial Management and Accounting,11-3031.01,Treasurers and Controllers
Business Management and Administration,Human Resources,25-1011.00,"Business Teachers, Postsecondary"
Business Management and Administration,Human Resources,11-3111.00,Compensation and Benefits Managers
Business Management and Administration,Human Resources,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Business Management and Administration,Human Resources,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Business Management and Administration,Human Resources,11-3121.00,Human Resources Managers
Business Management and Administration,Human Resources,13-1071.00,Human Resources Specialists
Business Management and Administration,Human Resources,13-1075.00,Labor Relations Specialists
Business Management and Administration,Human Resources,11-3131.00,Training and Development Managers
Business Management and Administration,Human Resources,13-1151.00,Training and Development Specialists
Business Management and Administration,Management,11-3011.00,Administrative Services Managers
Business Management and Administration,Management,11-2011.00,Advertising and Promotions Managers
Business Management and Administration,Management,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Business Management and Administration,Management,11-3051.03,Biofuels Production Managers
Business Management and Administration,Management,11-3051.04,Biomass Power Plant Managers
Business Management and Administration,Management,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Business Management and Administration,Management,25-1011.00,"Business Teachers, Postsecondary"
Business Management and Administration,Management,11-1011.00,Chief Executives
Business Management and Administration,Management,11-1011.03,Chief Sustainability Officers
Business Management and Administration,Management,25-1122.00,"Communications Teachers, Postsecondary"
Business Management and Administration,Management,11-9199.02,Compliance Managers
Business Management and Administration,Management,11-3021.00,Computer and Information Systems Managers
Business Management and Administration,Management,11-9021.00,Construction Managers
Business Management and Administration,Management,13-1051.00,Cost Estimators
Business Management and Administration,Management,25-1063.00,"Economics Teachers, Postsecondary"
Business Management and Administration,Management,19-3011.00,Economists
Business Management and Administration,Management,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Business Management and Administration,Management,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Business Management and Administration,Management,51-1011.00,First-Line Supervisors of Production and Operating Workers
Business Management and Administration,Management,11-1021.00,General and Operations Managers
Business Management and Administration,Management,11-3051.02,Geothermal Production Managers
Business Management and Administration,Management,11-3051.06,Hydroelectric Production Managers
Business Management and Administration,Management,11-3051.00,Industrial Production Managers
Business Management and Administration,Management,13-1081.00,Logisticians
Business Management and Administration,Management,13-1111.00,Management Analysts
Business Management and Administration,Management,11-9199.00,"Managers, All Other"
Business Management and Administration,Management,13-1161.00,Market Research Analysts and Marketing Specialists
Business Management and Administration,Management,11-9111.00,Medical and Health Services Managers
Business Management and Administration,Management,11-3051.05,Methane/Landfill Gas Collection System Operators
Business Management and Administration,Management,15-2031.00,Operations Research Analysts
Business Management and Administration,Management,11-2031.00,Public Relations and Fundraising Managers
Business Management and Administration,Management,27-3031.00,Public Relations Specialists
Business Management and Administration,Management,11-3061.00,Purchasing Managers
Business Management and Administration,Management,11-9199.01,Regulatory Affairs Managers
Business Management and Administration,Management,11-2022.00,Sales Managers
Business Management and Administration,Management,11-9151.00,Social and Community Service Managers
Business Management and Administration,Management,39-1021.01,Spa Managers
Business Management and Administration,Management,11-3071.02,Storage and Distribution Managers
Business Management and Administration,Management,19-3022.00,Survey Researchers
Business Management and Administration,Management,11-3071.01,Transportation Managers
Business Management and Administration,Management,11-3071.00,"Transportation, Storage, and Distribution Managers"
Business Management and Administration,Management,11-9199.09,Wind Energy Operations Managers
Business Management and Administration,Management,11-9199.10,Wind Energy Project Managers
Business Management and Administration,Marketing,11-2011.00,Advertising and Promotions Managers
Business Management and Administration,Marketing,41-3011.00,Advertising Sales Agents
Business Management and Administration,Marketing,27-1011.00,Art Directors
Business Management and Administration,Marketing,25-1011.00,"Business Teachers, Postsecondary"
Business Management and Administration,Marketing,25-1122.00,"Communications Teachers, Postsecondary"
Business Management and Administration,Marketing,53-3031.00,Driver/Sales Workers
Business Management and Administration,Marketing,27-3041.00,Editors
Business Management and Administration,Marketing,11-2021.00,Marketing Managers
Business Management and Administration,Marketing,11-2022.00,Sales Managers
Business Management and Administration,Marketing,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Business Management and Administration,Marketing,27-3042.00,Technical Writers
Business Management and Administration,Marketing,27-3043.00,Writers and Authors
Education and Training,Administration and Administrative Support,27-2022.00,Coaches and Scouts
Education and Training,Administration and Administrative Support,11-9039.01,Distance Learning Coordinators
Education and Training,Administration and Administrative Support,11-9039.00,"Education Administrators, All Other"
Education and Training,Administration and Administrative Support,11-9032.00,"Education Administrators, Elementary and Secondary School"
Education and Training,Administration and Administrative Support,11-9033.00,"Education Administrators, Postsecondary"
Education and Training,Administration and Administrative Support,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
Education and Training,Administration and Administrative Support,11-9039.02,Fitness and Wellness Coordinators
Education and Training,Administration and Administrative Support,39-9031.00,Fitness Trainers and Aerobics Instructors
Education and Training,Administration and Administrative Support,25-9031.00,Instructional Coordinators
Education and Training,Administration and Administrative Support,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Education and Training,Administration and Administrative Support,13-1041.07,Regulatory Affairs Specialists
Education and Training,Professional Support Services,25-9011.00,Audio-Visual and Multimedia Collections Specialists
Education and Training,Professional Support Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Education and Training,Professional Support Services,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
Education and Training,Professional Support Services,25-9031.01,Instructional Designers and Technologists
Education and Training,Professional Support Services,25-4021.00,Librarians
Education and Training,Professional Support Services,43-4121.00,"Library Assistants, Clerical"
Education and Training,Professional Support Services,25-1082.00,"Library Science Teachers, Postsecondary"
Education and Training,Professional Support Services,25-4031.00,Library Technicians
Education and Training,Professional Support Services,25-1199.00,"Postsecondary Teachers, All Other"
Education and Training,Professional Support Services,19-3031.01,School Psychologists
Education and Training,Teaching/Training,25-2059.01,Adapted Physical Education Specialists
Education and Training,Teaching/Training,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
Education and Training,Teaching/Training,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1031.00,"Architecture Teachers, Postsecondary"
Education and Training,Teaching/Training,25-4011.00,Archivists
Education and Training,Teaching/Training,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Education and Training,Teaching/Training,27-2021.00,Athletes and Sports Competitors
Education and Training,Teaching/Training,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1042.00,"Biological Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1011.00,"Business Teachers, Postsecondary"
Education and Training,Teaching/Training,25-2023.00,"Career/Technical Education Teachers, Middle School"
Education and Training,Teaching/Training,25-2032.00,"Career/Technical Education Teachers, Secondary School"
Education and Training,Teaching/Training,25-1052.00,"Chemistry Teachers, Postsecondary"
Education and Training,Teaching/Training,27-2022.00,Coaches and Scouts
Education and Training,Teaching/Training,25-1122.00,"Communications Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1021.00,"Computer Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Education and Training,Teaching/Training,25-4012.00,Curators
Education and Training,Teaching/Training,29-1031.00,Dietitians and Nutritionists
Education and Training,Teaching/Training,25-1063.00,"Economics Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1081.00,"Education Teachers, Postsecondary"
Education and Training,Teaching/Training,25-2021.00,"Elementary School Teachers, Except Special Education"
Education and Training,Teaching/Training,25-1032.00,"Engineering Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1123.00,"English Language and Literature Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1053.00,"Environmental Science Teachers, Postsecondary"
Education and Training,Teaching/Training,39-9031.00,Fitness Trainers and Aerobics Instructors
Education and Training,Teaching/Training,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1064.00,"Geography Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1191.00,Graduate Teaching Assistants
Education and Training,Teaching/Training,25-1071.00,"Health Specialties Teachers, Postsecondary"
Education and Training,Teaching/Training,19-3093.00,Historians
Education and Training,Teaching/Training,25-1125.00,"History Teachers, Postsecondary"
Education and Training,Teaching/Training,49-9031.00,Home Appliance Repairers
Education and Training,Teaching/Training,25-1192.00,"Home Economics Teachers, Postsecondary"
Education and Training,Teaching/Training,25-9031.00,Instructional Coordinators
Education and Training,Teaching/Training,27-3091.00,Interpreters and Translators
Education and Training,Teaching/Training,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Education and Training,Teaching/Training,25-2012.00,"Kindergarten Teachers, Except Special Education"
Education and Training,Teaching/Training,25-1112.00,"Law Teachers, Postsecondary"
Education and Training,Teaching/Training,25-4021.00,Librarians
Education and Training,Teaching/Training,25-1082.00,"Library Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
Education and Training,Teaching/Training,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1054.00,"Physics Teachers, Postsecondary"
Education and Training,Teaching/Training,27-3043.05,"Poets, Lyricists and Creative Writers"
Education and Training,Teaching/Training,25-1065.00,"Political Science Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1199.00,"Postsecondary Teachers, All Other"
Education and Training,Teaching/Training,25-2011.00,"Preschool Teachers, Except Special Education"
Education and Training,Teaching/Training,25-1066.00,"Psychology Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Education and Training,Teaching/Training,39-9032.00,Recreation Workers
Education and Training,Teaching/Training,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
Education and Training,Teaching/Training,25-3021.00,Self-Enrichment Education Teachers
Education and Training,Teaching/Training,25-1113.00,"Social Work Teachers, Postsecondary"
Education and Training,Teaching/Training,25-1067.00,"Sociology Teachers, Postsecondary"
Education and Training,Teaching/Training,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School"
Education and Training,Teaching/Training,25-2053.00,"Special Education Teachers, Middle School"
Education and Training,Teaching/Training,25-2051.00,"Special Education Teachers, Preschool"
Education and Training,Teaching/Training,25-2054.00,"Special Education Teachers, Secondary School"
Education and Training,Teaching/Training,25-9041.00,Teacher Assistants
Education and Training,Teaching/Training,25-3099.00,"Teachers and Instructors, All Other"
Education and Training,Teaching/Training,25-3099.02,Tutors
Education and Training,Teaching/Training,25-1194.00,"Vocational Education Teachers, Postsecondary"
Education and Training,Teaching/Training,27-3043.00,Writers and Authors
Finance,Banking and Related Services,43-3011.00,Bill and Account Collectors
Finance,Banking and Related Services,13-2041.00,Credit Analysts
Finance,Banking and Related Services,43-4041.01,Credit Authorizers
Finance,Banking and Related Services,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
Finance,Banking and Related Services,43-4041.02,Credit Checkers
Finance,Banking and Related Services,13-2071.01,Loan Counselors
Finance,Banking and Related Services,43-4131.00,Loan Interviewers and Clerks
Finance,Banking and Related Services,13-2072.00,Loan Officers
Finance,Banking and Related Services,43-4141.00,New Accounts Clerks
Finance,Banking and Related Services,43-3071.00,Tellers
Finance,Banking and Related Services,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Finance,Business Financial Management,13-2051.00,Financial Analysts
Finance,Business Financial Management,13-2099.01,Financial Quantitative Analysts
Finance,Business Financial Management,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Finance,Financial and Investment Planning,43-4011.00,Brokerage Clerks
Finance,Financial and Investment Planning,13-2031.00,Budget Analysts
Finance,Financial and Investment Planning,25-1011.00,"Business Teachers, Postsecondary"
Finance,Financial and Investment Planning,13-2041.00,Credit Analysts
Finance,Financial and Investment Planning,41-3099.01,Energy Brokers
Finance,Financial and Investment Planning,13-2051.00,Financial Analysts
Finance,Financial and Investment Planning,11-3031.00,Financial Managers
Finance,Financial and Investment Planning,11-3031.02,"Financial Managers, Branch or Department"
Finance,Financial and Investment Planning,13-2099.00,"Financial Specialists, All Other"
Finance,Financial and Investment Planning,11-9199.03,Investment Fund Managers
Finance,Financial and Investment Planning,13-2099.03,Investment Underwriters
Finance,Financial and Investment Planning,13-2071.01,Loan Counselors
Finance,Financial and Investment Planning,13-2072.00,Loan Officers
Finance,Financial and Investment Planning,13-2052.00,Personal Financial Advisors
Finance,Financial and Investment Planning,13-2099.02,Risk Management Specialists
Finance,Financial and Investment Planning,41-3031.02,"Sales Agents, Financial Services"
Finance,Financial and Investment Planning,41-3031.01,"Sales Agents, Securities and Commodities"
Finance,Financial and Investment Planning,41-3031.03,Securities and Commodities Traders
Finance,Financial and Investment Planning,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Finance,Financial and Investment Planning,13-2082.00,Tax Preparers
Finance,Financial and Investment Planning,11-3031.01,Treasurers and Controllers
Finance,Insurance Services,15-2011.00,Actuaries
Finance,Insurance Services,25-1011.00,"Business Teachers, Postsecondary"
Finance,Insurance Services,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Finance,Insurance Services,13-1031.01,"Claims Examiners, Property and Casualty Insurance"
Finance,Insurance Services,13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
Finance,Insurance Services,13-1032.00,"Insurance Appraisers, Auto Damage"
Finance,Insurance Services,43-9041.00,Insurance Claims and Policy Processing Clerks
Finance,Insurance Services,43-9041.01,Insurance Claims Clerks
Finance,Insurance Services,43-9041.02,Insurance Policy Processing Clerks
Finance,Insurance Services,41-3021.00,Insurance Sales Agents
Finance,Insurance Services,13-2053.00,Insurance Underwriters
Finance,Insurance Services,43-9071.00,"Office Machine Operators, Except Computer"
Finance,Insurance Services,43-9081.00,Proofreaders and Copy Markers
Finance,Insurance Services,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Finance,Insurance Services,41-9041.00,Telemarketers
Government and Public Administration,Governance,11-3011.00,Administrative Services Managers
Government and Public Administration,Governance,27-3021.00,Broadcast News Analysts
Government and Public Administration,Governance,11-1011.00,Chief Executives
Government and Public Administration,Governance,25-1122.00,"Communications Teachers, Postsecondary"
Government and Public Administration,Governance,43-4061.00,"Eligibility Interviewers, Government Programs"
Government and Public Administration,Governance,11-9161.00,Emergency Management Directors
Government and Public Administration,Governance,11-1021.00,General and Operations Managers
Government and Public Administration,Governance,11-1031.00,Legislators
Government and Public Administration,Governance,11-9199.00,"Managers, All Other"
Government and Public Administration,Governance,17-3031.02,Mapping Technicians
Government and Public Administration,Governance,25-1065.00,"Political Science Teachers, Postsecondary"
Government and Public Administration,Governance,19-3094.00,Political Scientists
Government and Public Administration,Governance,11-9131.00,Postmasters and Mail Superintendents
Government and Public Administration,Governance,27-3031.00,Public Relations Specialists
Government and Public Administration,Governance,27-3022.00,Reporters and Correspondents
Government and Public Administration,Governance,11-9151.00,Social and Community Service Managers
Government and Public Administration,Governance,11-3071.02,Storage and Distribution Managers
Government and Public Administration,Governance,17-3031.00,Surveying and Mapping Technicians
Government and Public Administration,Governance,17-3031.01,Surveying Technicians
Government and Public Administration,Governance,11-3071.01,Transportation Managers
Government and Public Administration,Governance,11-3071.00,"Transportation, Storage, and Distribution Managers"
Government and Public Administration,National Security,55-3011.00,Air Crew Members
Government and Public Administration,National Security,55-1011.00,Air Crew Officers
Government and Public Administration,National Security,55-1012.00,Aircraft Launch and Recovery Officers
Government and Public Administration,National Security,55-3012.00,Aircraft Launch and Recovery Specialists
Government and Public Administration,National Security,55-3013.00,Armored Assault Vehicle Crew Members
Government and Public Administration,National Security,55-1013.00,Armored Assault Vehicle Officers
Government and Public Administration,National Security,55-3014.00,Artillery and Missile Crew Members
Government and Public Administration,National Security,55-1014.00,Artillery and Missile Officers
Government and Public Administration,National Security,55-1015.00,Command and Control Center Officers
Government and Public Administration,National Security,55-3015.00,Command and Control Center Specialists
Government and Public Administration,National Security,55-2011.00,First-Line Supervisors of Air Crew Members
Government and Public Administration,National Security,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members
Government and Public Administration,National Security,55-3016.00,Infantry
Government and Public Administration,National Security,55-1016.00,Infantry Officers
Government and Public Administration,National Security,55-3017.00,Radar and Sonar Technicians
Government and Public Administration,National Security,55-3018.00,Special Forces
Government and Public Administration,National Security,55-1017.00,Special Forces Officers
Government and Public Administration,Planning,11-9041.00,Architectural and Engineering Managers
Government and Public Administration,Planning,25-1031.00,"Architecture Teachers, Postsecondary"
Government and Public Administration,Planning,19-4061.01,City and Regional Planning Aides
Government and Public Administration,Planning,19-2041.01,Climate Change Analysts
Government and Public Administration,Planning,19-3011.00,Economists
Government and Public Administration,Planning,43-4111.00,"Interviewers, Except Eligibility and Loan"
Government and Public Administration,Planning,25-1065.00,"Political Science Teachers, Postsecondary"
Government and Public Administration,Planning,43-9111.00,Statistical Assistants
Government and Public Administration,Planning,19-3051.00,Urban and Regional Planners
Government and Public Administration,Public Management and Administration,43-4031.01,Court Clerks
Government and Public Administration,Public Management and Administration,43-4031.00,"Court, Municipal, and License Clerks"
Government and Public Administration,Public Management and Administration,43-4061.00,"Eligibility Interviewers, Government Programs"
Government and Public Administration,Public Management and Administration,43-4031.03,License Clerks
Government and Public Administration,Public Management and Administration,11-9199.00,"Managers, All Other"
Government and Public Administration,Public Management and Administration,43-4031.02,Municipal Clerks
Government and Public Administration,Public Management and Administration,43-5051.00,Postal Service Clerks
Government and Public Administration,Public Management and Administration,43-5052.00,Postal Service Mail Carriers
Government and Public Administration,Public Management and Administration,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Government and Public Administration,Public Management and Administration,11-9131.00,Postmasters and Mail Superintendents
Government and Public Administration,Public Management and Administration,11-9151.00,Social and Community Service Managers
Government and Public Administration,Regulation,13-1041.00,Compliance Officers
Government and Public Administration,Regulation,47-4011.00,Construction and Building Inspectors
Government and Public Administration,Regulation,13-1041.06,Coroners
Government and Public Administration,Regulation,33-3021.00,Detectives and Criminal Investigators
Government and Public Administration,Regulation,13-1041.03,Equal Opportunity Representatives and Officers
Government and Public Administration,Regulation,13-2061.00,Financial Examiners
Government and Public Administration,Regulation,13-1041.04,Government Property Inspectors and Investigators
Government and Public Administration,Regulation,13-1041.02,Licensing Examiners and Inspectors
Government and Public Administration,Regulation,43-5041.00,"Meter Readers, Utilities"
Government and Public Administration,Regulation,53-6051.00,Transportation Inspectors
Government and Public Administration,Revenue and Taxation,13-2011.00,Accountants and Auditors
Government and Public Administration,Revenue and Taxation,13-2021.00,Appraisers and Assessors of Real Estate
Government and Public Administration,Revenue and Taxation,13-2021.01,Assessors
Government and Public Administration,Revenue and Taxation,13-2061.00,Financial Examiners
Government and Public Administration,Revenue and Taxation,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Government and Public Administration,Revenue and Taxation,13-2082.00,Tax Preparers
Health Science,Biotechnology Research and Development,19-1029.00,"Biological Scientists, All Other"
Health Science,Biotechnology Research and Development,19-1020.01,Biologists
Health Science,Biotechnology Research and Development,17-2031.00,Biomedical Engineers
Health Science,Biotechnology Research and Development,15-2041.02,Clinical Data Managers
Health Science,Biotechnology Research and Development,11-9121.01,Clinical Research Coordinators
Health Science,Biotechnology Research and Development,15-1199.00,"Computer Occupations, All Other"
Health Science,Biotechnology Research and Development,25-1071.00,"Health Specialties Teachers, Postsecondary"
Health Science,Biotechnology Research and Development,15-2091.00,Mathematical Technicians
Health Science,Biotechnology Research and Development,31-9093.00,Medical Equipment Preparers
Health Science,Biotechnology Research and Development,19-1042.00,"Medical Scientists, Except Epidemiologists"
Health Science,Biotechnology Research and Development,11-9121.00,Natural Sciences Managers
Health Science,Biotechnology Research and Development,29-1051.00,Pharmacists
Health Science,Diagnostic Services,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Health Science,Diagnostic Services,29-9091.00,Athletic Trainers
Health Science,Diagnostic Services,29-2031.00,Cardiovascular Technologists and Technicians
Health Science,Diagnostic Services,29-2011.01,Cytogenetic Technologists
Health Science,Diagnostic Services,29-2011.02,Cytotechnologists
Health Science,Diagnostic Services,29-2032.00,Diagnostic Medical Sonographers
Health Science,Diagnostic Services,29-2041.00,Emergency Medical Technicians and Paramedics
