,Occupation,Subset,Mean
762,Street sweeper,12,3.0
763,Street-Sweeper Operator,2,3.3
764,Student Admissions Clerk,5,4.4
765,Subway Operator,2,4.0
766,Superintendent of a Construction Job,2,5.2
767,Supervisor in a Auto Repair Shop,7,4.5
768,Supervisor in a Logging Operation,6,5.0
769,Supervisor in a Machine Shop,5,5.1
770,Supervisor of a Branch Telephone Exchange,10,4.3
771,Supervisor of a Janitorial Service,10,4.0
772,Supervisor of a Truck Delivery Service,9,4.7
773,Supervisor of Skilled Craftsmen,6,5.2
774,Surgeon,10,7.7
775,Surveyor,7,4.6
776,Swap Meet Vendor,12,2.8
777,Table Clearer in a Restaurant,8,2.3
778,Tailor,3,4.4
779,Tank Crew Member,4,4.1
780,Tax Collector,8,4.1
781,Taxicab Driver,12,3.2
782,Teacher's Aide in an Elementary School,11,4.9
783,Technician,6,5.1
784,Technician Drawing Blood,2,5.1
785,Telegraph Operator,1,3.8
786,Telephone Installer,9,4.3
787,Telephone Operator,12,3.6
788,Telephone Solicitor,0,2.5
789,Telephone-Answering-Service Operator,11,3.1
790,Temporary Clerk in an Office,2,2.9
791,Tenant Farmer,10,3.9
792,Termite Exterminator,2,3.9
793,Theater Usher,8,2.6
794,Theatrical Agent,2,4.6
795,Timber Buyer for a Pulp Mill,4,4.1
796,Time-Motion Analyst,2,4.9
797,Tire Retreader,1,2.8
798,Tire-Mold Engraver,2,3.5
799,Toll Bridge Collector,12,3.3
800,Tombstone Carver,7,3.9
801,Tool and Die Maker,7,4.1
802,Tool Programmer in a Manufacturing Plant,6,5.1
803,Tool Sharpener,1,2.8
804,Toolroom Helper in a Chain Saw Factory,4,3.1
805,Toy Manufacturer,1,4.4
806,Trailer Truck Driver,9,4.4
807,Train Attendant,4,4.2
808,Transit Authority Police,10,5.0
809,Trash Hauler,10,3.6
810,Travel Agent,1,4.1
811,Traveling Salesman for a Wholesale Concern,4,3.5
812,Tree Surgeon,3,4.0
813,Truck Dispatcher,4,3.7
814,Truck Driver's Helper,2,3.4
815,Turpentine Distiller,2,3.4
816,TV Anchor,6,5.8
817,TV Announcer,1,5.2
818,TV Director,7,5.6
819,TV Repairman,2,4.0
820,Typesetter,5,3.9
821,Typist,5,3.8
822,Union Organizer,9,4.6
823,Unskilled Worker in a Factory,7,2.8
824,Upholsterer,11,3.8
825,Urban Planner,4,5.5
826,Used Car Salesman,6,3.5
827,Vending Machine Coin Collector,9,3.1
828,Veneer Glue Spreader,3,3.1
829,Veterinarian,8,6.4
830,Veterinarian Assistant,1,4.5
831,Video Game Repairer in Arcade,3,3.4
832,Waiter in a Restaurant,5,3.6
833,Waitress in a Restaurant,6,3.6
834,Warehouse Hand,11,3.2
835,Watch Assembler,7,3.8
836,Watch-Crystal Grinder,12,3.6
837,Water Well Driller,1,4.4
838,Water Well Drilling Roughneck,12,4.1
839,Water-Pollution Specialist,9,5.5
840,Web Designer,8,5.4
841,Weight Station Operator,9,3.9
842,Welder,0,4.2
843,Wildlife Officer,6,5.0
844,Wildlife Technician,12,4.8
845,Wind Turbine Mechanic,2,4.9
846,Window Display Artist,2,4.0
847,Window Glass Installer,7,3.8
848,Windshield Installer,8,3.1
849,Wire Pulling Machine Operator,12,4.0
850,Wood Carver,8,3.9
851,Wood Lathe Operator,7,4.1
852,Wood Miller,6,4.0
853,Wood Technologist,9,4.4
854,Wood-Model Maker,5,4.1
855,Word Processor,6,4.2
856,Writer of Technical Manuals,9,5.4
857,X-ray Technician,3,5.7
858,Yarn Spinner in a Textile Mill,8,3.0
859,Yeast Maker,10,3.8
